Identifiant;Adresse;Code postal;Commune;Nature de l'opération;Responsable de l'opération;Date de l'opération;Protohistoire;Antiquité;Moyen-Age;Temps modernes;Epoque contemporaine;X;Y;latitude;longitude
1829;1 rue Descartes;75005;Paris;Découverte ancienne;Toulouze Eugène;1881;Non;Non;Oui;Non;Non;652201.422;6861023.87;48.847484808974606; 2.348666732171061
1470;17 rue d'Ulm;75005;Paris;Découverte ancienne;Magne Charles;1887;Non;Oui;Non;Non;Non;651935.343;6860625.73;48.843884601606696; 2.3450861351177568
1655;4 rue Scipion;75005;Paris;Découverte ancienne;Vacquer Théodore;1868;Non;Non;Non;Non;Non;652586.772;6859979.93;48.83812510696596; 2.3540338871724615
2051;10 cite Moynet;75012;Paris;Diagnostic;Watrin Luc;1994;Non;Non;Non;Non;Oui;654946.374;6860561.19;48.84352172093374; 2.38611862293235
1203;10 rue des Fossés-Saint-Jacques;75005;Paris;Découverte ancienne;Vacquer Théodore;1874;Non;Oui;Non;Non;Non;651856.828;6860830.99;48.84572460640736; 2.343993129238887
2224;2W rue de Medicis;75006;Paris;Découverte ancienne;Vacquer Théodore;1853;Non;Oui;Non;Non;Non;651460.033;6861033.01;48.847511598805134; 2.338563528236437
2235;1 place du Carrousel;75001;Paris;Diagnostic;;2020;Non;Non;Non;Non;Non;651088.586;6862450.68;48.86023247165233; 2.333339100960361
1358;37 quai d'Austerlitz;75013;Paris;Diagnostic;Granchon Philippe;2001;Non;Non;Non;Non;Non;653781.916;6860176.74;48.83998189662541; 2.370294655505327
1362;73 quai Panhard et Levassor;75013;Paris;Diagnostic;Peixoto Xavier;2000;Non;Non;Non;Non;Non;654572.06;6859155.17;48.830850968750724; 2.3811687264896144
52;1 place du Panthéon;75005;Paris;Découverte ancienne;Magne Charles;1904;Non;Non;Oui;Non;Non;652050.067;6860789.32;48.84536432213252; 2.346630813141201
1123;6 rue Crébillon;75006;Paris;Fouille;Mazières Thomas;2008;Non;Oui;Non;Non;Non;651440.075;6861318.94;48.85008148699914; 2.3382589284193607
1421;1 rue du Petit-Pont;75005;;Découverte ancienne;Sellier Charles;1898;Non;Oui;Non;Non;Non;652063.605;6861601.33;48.85266768699512; 2.3467237373582814
1423;13 rue du Pot-de-Fer;75005;Paris;Découverte ancienne;Magne Charles;1880;Non;Oui;Non;Non;Non;652178.258;6860508.16;48.842845375593946; 2.3484090866047707
1760;15 rue des Ursins;75004;Paris;Découverte ancienne;Sellier Charles;1898;Non;Oui;Oui;Oui;Non;652366.664;6861799.36;48.85447097095618; 2.35083144710962
1112;2w rue de Médicis;75006;Paris;Suivi de travaux;Peixoto Xavier;2015;Non;Non;Non;Oui;Non;651460.033;6861033.01;48.847511598805134; 2.338563528236437
1670;72 boulevard Saint-Marcel;75005;Paris;Découverte ancienne;Vacquer Théodore;1893;Non;Non;Non;Non;Non;652576.123;6859927.04;48.83764866254339; 2.3538947060206854
1119;34 rue Saint-Lambert;75015;Paris;Diagnostic;Peixoto Xavier;2003;Non;Non;Non;Oui;Non;648054.159;6859897.43;48.83703384041841; 2.292294010172291
7;10 villa Saint-Jacques;75014;Paris;;;1899;Non;Oui;Non;Non;Non;651176.828;6859367.35;48.83251086389266; 2.334895755178971
1336;2 rue des Ecoles;75005;Paris;Découverte ancienne;Magne Charles;1895;Non;Oui;Non;Non;Non;652480.461;6861041.09;48.84766031620343; 2.3524669965188516
2048;35 boulevard Richard Lenoir;75011;Paris;Diagnostic;Benoist Anne;1994;Non;Non;Non;Oui;Non;653841.549;6862181.0;48.858010442085735; 2.370889541411146
2064;41 rue Tournefort;75005;Paris;Découverte ancienne;;1800;Non;Oui;Non;Non;Non;652169.244;6860422.11;48.84207078553614; 2.348295950167726
1513;118 rue de Rennes;75006;Paris;Découverte ancienne;Vacquer Théodore;1873;Non;Oui;Non;Non;Non;650601.393;6861006.64;48.84720923520152; 2.326866777931675
1536;21 rue des Bernardins;75005;Paris;Découverte fortuite;Petit Michel;1953;Non;Oui;Non;Non;Non;652344.275;6861283.22;48.84982778867451; 2.35058418276981
1926;3v place Saint-Gervais;75004;Paris;Découverte ancienne;Vacquer Théodore;1884;Non;Non;Oui;Non;Non;652601.821;6861939.93;48.8557524580358; 2.3540204570373287
2269;6 rue des Prêtres Saint-Séverin;75005;Paris;Découverte ancienne;Vacquer Théodore;1844;Non;Non;Oui;Non;Non;651944.213;6861535.22;48.852064225039406; 2.3451042126379025
1230;1 place de l'Île-de-Sein;75014;Paris;Découverte ancienne;Vacquer Théodore;1869;Non;Oui;Non;Non;Non;651291.359;6859552.96;48.834188779902256; 2.3364346564545726
1945;2 rue du Mont-Cenis;75018;Paris;Découverte ancienne;Vacquer Théodore;1864 - 1865;Non;Non;Non;Non;Non;651712.362;6865389.57;48.88670829664176; 2.3415067093658246
1943;1 rue de la Chaussée d'Antin;75009;Paris;Découverte ancienne;;1756;Non;Non;Non;Non;Non;651139.269;6863668.38;48.87118691384332; 2.3338898680452984
1347;5 rue de Pommard;75012;Paris;Diagnostic;Dufour Jean-Yves;1995;Oui;Non;Non;Oui;Non;654847.774;6859669.34;48.835494337473705; 2.3848698598686626
1388;37 boulevard de Port-Royal;75013;Paris;Diagnostic;Avinain Julien;2016;Non;Oui;Non;Oui;Non;651983.095;6859919.72;48.83753900247102; 2.3458164552130523
2179;31 rue Gay Lussac;75005;Paris;Diagnostic;;2019;Non;Non;Non;Non;Non;651731.648;6860651.48;48.84410088266402; 2.342307857828079
1397;15 rue Gay-Lussac;75005;Paris;Découverte ancienne;Magne Charles;1911;Non;Oui;Non;Non;Non;651676.294;6860823.87;48.84564704467653; 2.34153406599086
1768;1 place Saint-Germain des Prés;75006;Paris;Découverte ancienne;Vacquer Théodore;1882;Non;Non;Oui;Non;Non;651115.964;6861789.95;48.85429266386321; 2.3337882248161397
1680;51 rue Greneta;75002;Paris;;;1899;Non;Non;Oui;Non;Non;652184.578;6863015.49;48.865393988771174; 2.348213204746447
2185;1 parvis Notre-Dame;75004;Paris;;Goret Jean-François;2019;Non;Non;Non;Non;;652197.1689;6861691.9553;48.85349257975863; 2.3485336718604706
1751;30 rue Saint-Paul;75004;Paris;;;1916;Non;Non;Non;Oui;Non;653199.168;6861729.54;48.85390409720399; 2.362184374455943
1861;4 rue de la Cité;75004;Paris;Découverte ancienne;Vacquer Théodore;1845;Non;Oui;Non;Non;Non;652107.271;6861769.71;48.85418516350306; 2.347299822359337
1893;69 rue Saint-Martin;75004;Paris;Découverte ancienne;Vacquer Théodore;1852 - 1853;Non;Oui;Non;Non;Non;652336.61;6862339.0;48.85932169601163; 2.3503613708201687
2251;2 rue de la Cité;75004;Paris;Découverte ancienne;Vacquer Théodore;1844;Non;Non;Oui;Non;Non;652117.648;6861795.55;48.854418338857386; 2.3474383270203294
2193;29 rue Gay Lussac;75005;Paris;Découverte ancienne;Vacquer Théodore;1866;Non;Oui;Non;Non;Non;651727.087;6860665.66;48.844228052713426; 2.34224410438025
2198;63 boulevard Saint-Michel;75005;Paris;Découverte ancienne;Vacquer Théodore;;Non;Non;Oui;Non;Non;651651.847;6861030.58;48.84750413113744; 2.3411774630153275
77;88ter boulevard de Port-Royal;75005;Paris;Découverte ancienne;Magne Charles;1912;Non;Non;Non;Non;Non;651502.512;6860106.53;48.8391829527177; 2.33924798815665
107;15 rue Neuve Saint-Pierre;75004;Paris;Découverte ancienne;Magne Charles;1914;Non;Non;Oui;Oui;Non;653268.939;6861716.41;48.85379112938261; 2.363136635717483
200;1 rue de Bazeilles;75005;Paris;;;1926;Non;Non;Non;Non;Non;652315.816;6860108.32;48.83925977809691; 2.3503281093191677
288;5 rue du Grenier Saint-Lazare;75003;Paris;Découverte ancienne;Grimault Prudent Aimé;1934;Non;Non;Non;Oui;Non;652588.831;6862704.32;48.86262558402789; 2.353758168605937
524;22 rue du Cloitre Notre-Dame;75004;Paris;Fouille;Fleury Michel;1965 - 1970;Non;Oui;Oui;Oui;Non;652264.804;6861701.49;48.853583294394326; 2.349454304534929
417;1 place Baudoyer;75004;Paris;;;1943;Non;Non;Non;Non;Non;652682.042;6861991.86;48.85622538400638; 2.355107942670081
407;12 boulevard Henri IV;75004;Paris;Découverte ancienne;;1852;Non;Non;Oui;Oui;Non;653263.616;6861425.03;48.85117038654446; 2.36309612454502
353;39 rue Daubenton;75005;Paris;Découverte ancienne;Sellier Charles;1899;Non;Non;Oui;Non;Non;652332.412;6860211.16;48.84018580525257; 2.3505426874749724
377;11 place Marcelin Berthelot;75005;Paris;Découverte ancienne;Grimault Prudent Aimé;1938;Non;Oui;Non;Non;Non;651973.858;6861204.35;48.8490909744788; 2.3455455613308427
660;6 place Paul Painlevé;75005;Paris;;;1980;Non;Oui;Oui;Non;Non;651856.689;6861343.35;48.850332260063155; 2.343933229841042
667;3 place Saint-Germain-des-Prés;75006;Paris;Sauvetage urgent;;1981-1983;Non;Non;Oui;Non;Non;651107.009;6861761.04;48.85403203532024; 2.333669512417735
678;10 rue Pierre Nicole;75005;Paris;Sauvetage urgent;Busson Didier;1981;Non;Oui;Non;Non;Non;651601.547;6860453.93;48.84231460128274; 2.3405576961540504
619;292 rue Saint-Martin;75003;Paris;;Viré Marc;1975;Non;Non;Non;Non;Non;652657.577;6863187.12;48.86697242028375; 2.35464139048997
647;7 rue Lagrange;75005;Paris;Suivi de travaux;;1974;Non;Non;Non;Non;Non;652153.418;6861494.79;48.85171628240447; 2.347959640294549
582;355v rue Saint-Martin;75003;Paris;Suivi de travaux;Le Hallé Guy;1975;Non;Oui;Oui;Oui;Non;652699.33;6863364.44;48.86857010334119; 2.355190791955392
714;1 boulevard du Palais;75004;Paris;;;1983;Non;Non;Non;Non;Non;652047.391;6861947.22;48.85577705061663; 2.3464637703271767
715;22 rue du Cloitre Notre-Dame;75004;Paris;;;1982;Non;Oui;Oui;Non;Non;652264.804;6861701.49;48.853583294394326; 2.349454304534929
772;1 rue de Lanneau;75005;Paris;Suivi de travaux;Marquis Philippe;1989;Non;Non;Non;Non;Non;652073.238;6861097.14;48.848134193444096; 2.3469118389807346
1131;58 bis boulevard Saint-Michel;75006;Paris;Diagnostic;Peixoto Xavier;2011;Non;Non;Non;Non;Non;651553.11;6860859.89;48.845961731047915; 2.339851517418622
928;39 rue Cambon;75001;Paris;;;2000;Non;Non;Non;Oui;Non;650639.599;6863389.07;48.8686370058079; 2.327110727295785
1811;1 rue Clotilde;75005;Paris;Découverte ancienne;Sellier Charles;1903;Non;Non;Oui;Non;Non;652091.154;6860866.79;48.846064038183066; 2.3471819153171136
332;79 boulevard Saint-Marcel;75013;Paris;Découverte ancienne;Magne Charles;1910;Non;Oui;Oui;Non;Non;652506.554;6859847.93;48.83693212519768; 2.3529557681517
347;123 boulevard de Port-Royal;75014;Paris;Découverte ancienne;;1899;Non;Non;Non;Oui;Non;651405.692;6860100.95;48.83912553210527; 2.3379295665843993
349;7 rue Cassini;75014;Paris;Découverte ancienne;Capitan Louis;1903 - 1905;Non;Oui;Non;Non;Non;651371.484;6859855.76;48.83691792068528; 2.3374915511602636
1132;75 rue Réaumur;75002;Paris;Diagnostic;Peixoto Xavier;2010;Non;Non;Oui;Oui;Non;652260.845;6863165.06;48.86674476575961; 2.3492359733533275
1283;9 rue Bertholet;75005;Paris;Découverte ancienne;Magne Charles;1882;Non;Oui;Non;Non;Non;651995.772;6860143.91;48.839556061943206; 2.345963861152713
1616;35 avenue des Gobelins;75013;Paris;Découverte ancienne;Magne Charles;1881;Non;Oui;Oui;Non;Non;652495.645;6859728.8;48.835859985742474; 2.3528204539311184
1294;54 boulevard Saint-Michel;75006;Paris;Diagnostic;Marcille Catherine;1996;Non;Oui;Non;Non;Non;651651.001;6861111.98;48.84823613110925; 2.3411566802219217
1177;23 rue Clovis;75005;Paris;Découverte ancienne;Vacquer Théodore;;Non;Oui;Non;Non;Non;652106.23;6860899.37;48.84635809643975; 2.3473836669749217
953;22 rue d'Ulm;75005;Paris;Fouille;Busson Didier;2005 - 2006;Non;Oui;Oui;Oui;Non;651917.928;6860618.02;48.843813939365454; 2.344849726656138
1624;26 rue Le Brun;75013;Paris;Découverte ancienne;Magne Charles;1892;Non;Non;Non;Non;Non;652620.208;6859734.99;48.83592480430267; 2.3545166835403424
892;28 quai Henri IV;75004;Paris;Diagnostic;Karst Nathalie;1996;Non;Non;Oui;Non;Non;653253.281;6861152.99;48.848723144205955; 2.362985197020257
795;33 rue de Vaugirard;75006;Paris;;;1990;Non;Non;Non;Oui;Non;650872.22;6861095.88;48.84803246367318; 2.330546732415692
796;1 rue de Poissy;75005;Paris;Découverte fortuite;;1965;Non;Non;Oui;Non;Non;652556.119;6861320.08;48.85017489401664; 2.3534667891137775
1490;284 rue Saint-Jacques;75005;Paris;Découverte ancienne;;1630;Non;Oui;Non;Non;Non;651638.31;6860361.46;48.84148580425132; 2.3410690922818946
1496;92 boulevard de Port-Royal;75005;Paris;Découverte ancienne;Vacquer Théodore;;Non;Oui;Non;Non;Non;651423.515;6860138.88;48.83946795455801; 2.3381680527176663
1429;16 rue Royer-Collard;75005;Paris;Découverte ancienne;Magne Charles;1880;Non;Oui;Non;Non;Non;651675.681;6860858.24;48.8459561235239; 2.341521807715962
2279;2 rue Palatine;75006;Paris;Découverte ancienne;Vacquer Théodore;;Non;Non;Oui;Oui;Non;651244.651;6861403.53;48.85082743274132; 2.335586251651235
1845;79 rue Galande;75005;Paris;Découverte ancienne;;1825;Non;Non;Oui;Non;Non;652043.243;6861535.51;48.852074283672366; 2.346453680699974
1686;70 rue de Turbigo;75003;Paris;Découverte ancienne;Sellier Charles;1902;Non;Non;Non;Oui;Non;653008.967;6863089.4;48.866119353978114; 2.3594420354676937
1409;17 rue Malebranche;75005;Paris;Découverte ancienne;Magne Charles;1891;Non;Oui;Non;Non;Non;651704.935;6860917.14;48.84648803930345; 2.341913721754274
1927;1 place Baudoyer;75004;Paris;Découverte ancienne;;1824;Non;Oui;Oui;Non;Non;652682.042;6861991.86;48.85622538400638; 2.355107942670081
1996;1 quai des Célestins;75004;Paris;Diagnostic;Watrin Luc;1995;Non;Oui;Non;Non;Non;653181.239;6861453.13;48.851417125937175; 2.361970479763773
1274;1 quai de Gesvres;75004;;Diagnostic;Ginoux Nathalie;1995;Non;Non;Non;Oui;Non;652338.364;6861971.57;48.856017628940286; 2.35042647189108
1435;66 boulevard Saint-Germain;75005;Paris;Découverte ancienne;Vacquer Théodore;;Non;Oui;Non;Non;Non;652134.545;6861352.52;48.850435409067636; 2.3477184719166817
233;1 rue François Miron;75004;Paris;Découverte ancienne;Grimault Prudent Aimé;1934;Non;Non;Oui;Non;Non;652644.203;6861959.92;48.8559353431048; 2.3545958196741967
984;22 rue du Cloitre Notre-Dame;75004;Paris;Sondage;Busson Didier;2012;Non;Non;Oui;Non;Non;652264.804;6861701.49;48.853583294394326; 2.349454304534929
2081;6 place Paul Painlevé;75005;Paris;Découverte ancienne;Vacquer Théodore;1888;Non;Oui;Non;Non;Non;651856.689;6861343.35;48.850332260063155; 2.343933229841042
1994;7 rue de l'Empereur Julien;75014;Paris;Diagnostic;Valencia Luis;1996 - 1997;Non;Oui;Non;Non;Non;651365.763;6858614.62;48.82575576163664; 2.3375554665454437
1973;26 boulevard Raspail;75007;Paris;Découverte ancienne;;1909;Non;Oui;Non;Non;Non;650551.403;6861680.8;48.85326808553647; 2.3261072202961532
2016;23v place de la Concorde;75008;Paris;Découverte ancienne;;1898;Non;Non;Non;Oui;Non;650195.561;6863037.51;48.865441371855795; 2.321099027028786
2231;14 rue Gerbert;75015;Paris;Découverte ancienne;Vacquer Théodore;;Non;Non;Oui;Non;Non;648514.355;6860131.53;48.83917595022967; 2.298535021498365
2095;15 rue Victor Cousin;75005;Paris;Découverte ancienne;Vacquer Théodore;1849 - 1857;Non;Oui;Non;Non;Non;651728.925;6861017.04;48.84738819017367; 2.34222926435798
1806;1 rue Clotilde;75005;Paris;Découverte ancienne;Vacquer Théodore;1846;Non;Oui;Non;Non;Non;652091.154;6860866.79;48.846064038183066; 2.3471819153171136
1851;1 rue Cujas;75005;Paris;Découverte ancienne;Vacquer Théodore;1846;Non;Non;Non;Non;Non;651936.852;6860970.44;48.84698467873489; 2.345067739125234
2040;164 rue de Rivoli;75001;Paris;Découverte ancienne;;"1865 ; 1866";Non;Oui;Oui;Non;Non;651488.461;6862614.46;48.86173556787843; 2.3387704346629152
1325;159 rue de l'Université;75007;Paris;Diagnostic;Dufour Jean-Yves;1997;Non;Non;Non;Oui;Non;648948.601;6862562.65;48.86107339014076; 2.3041592081212876
64;5 place Jussieu;75005;Paris;Découverte ancienne;Magne Charles;1912;Non;Non;Oui;Non;Non;652661.271;6860825.23;48.84573238075999; 2.3549547530657837
908;7 rue Mazet;75006;Paris;Évaluation archéologique;Marquis Philippe;1999;Non;Non;Oui;Non;Non;651514.147;6861729.5;48.853779185450655; 2.339221465589959
1239;53 rue des Ecoles;75005;Paris;Découverte ancienne;Vacquer Théodore;;Non;Oui;Non;Non;Non;651781.13;6861318.15;48.8500999515362; 2.3429064649019034
1720;1 rue Descartes;75005;Paris;Sondage;Avinain Julien;2016;Non;Oui;Oui;Non;Non;652201.422;6861023.87;48.847484808974606; 2.348666732171061
909;8 rue de Furstemberg;75006;Paris;Fouille;Lorquet Philippe;1999;Non;Non;Oui;Non;Non;651247.313;6861797.16;48.854367500494924; 2.335577391115458
2241;82 rue Saint-Denis;75001;Paris;Découverte ancienne;Vacquer Théodore;1848;Non;Non;Oui;Oui;Non;652275.362;6862662.54;48.86222669669044; 2.3494902880172606
1419;2 rue d Ulm;75005;Paris;Découverte ancienne;Magne Charles;1904;Non;Oui;Non;Non;Non;651980.924;6860802.13;48.84547430151316; 2.3456872633663943
2115;110 rue de Vaugirard;75006;Paris;Diagnostic;;2019 - 2020;Non;Non;Non;Non;Non;650272.923;6860854.73;48.84581784007072; 2.3224088426626097
1463;4 rue Tournefort;75005;Paris;Découverte ancienne;Magne Charles;1898;Non;Oui;Non;Non;Non;652148.936;6860658.96;48.844199272588504; 2.3479926155987307
1346;27 rue de Rambouillet;75012;Paris;Diagnostic;Du Bouétiez Emmanuelle;2000;Non;Non;Non;Non;Non;654635.529;6860669.9;48.844477536680664; 2.3818717598078485
1092;14 rue Monsieur-le-Prince;75006;Paris;Fouille;Peixoto Xavier;2000;Non;Oui;Non;Non;Non;651542.341;6861358.79;48.850447564217305; 2.339647932246593
2029;2w rue de Médicis;75006;Paris;Suivi de travaux;Celly Paul;2017;Non;Oui;Non;Oui;Non;651460.033;6861033.01;48.847511598805134; 2.338563528236437
2274;158 rue Saint-Jacques;75005;Paris;Découverte ancienne;Vacquer Théodore;1844;Non;Non;Oui;Non;Non;651818.846;6861004.49;48.84728208547242; 2.3434559470719547
1825;18 rue Laplace;75005;Paris;Découverte ancienne;Lambeau Lucien;1899;Non;Non;Oui;Non;Non;652090.66;6861020.18;48.847443398879264; 2.347157904413893
2036;2X allée des Cygnes;75015;Paris;Découverte ancienne;Sellier Charles;1904;Non;Oui;Non;Non;Non;647747.064;6861973.44;48.85567834758153; 2.2878553248778815
1441;123 rue Saint-Jacques;75005;Paris;Découverte ancienne;Vacquer Théodore;1889;Non;Oui;Non;Non;Non;651872.356;6861085.83;48.84801757273941; 2.3441758659850076
1516;127 rue de Rennes;75006;Paris;Suivi de travaux;Sellier Charles;1906;Non;Oui;Non;Non;Non;650599.957;6860953.53;48.846731446048416; 2.326853381322119
1877;4 boulevard du Palais;75001;Paris;Découverte ancienne;Vacquer Théodore;1879;Non;Oui;Oui;Non;Non;651984.697;6861894.04;48.85529411126292; 2.3456153724672504
2025;120 rue de Lyon;75012;Paris;Découverte ancienne;Sellier Charles;1899;Non;Non;Non;Oui;Non;653778.995;6861460.67;48.851528065255145; 2.3701153200585727
1906;25 rue Raynouard;75016;Paris;Découverte ancienne;;1748;Non;Oui;Non;Non;Non;647358.479;6862093.01;48.85672198757817; 2.2825448629117395
1398;22 rue Gay-Lussac;75005;Paris;Découverte ancienne;Vacquer Théodore;1865;Non;Oui;Non;Non;Non;651675.301;6860755.07;48.845028306634; 2.3415283526708506
